CustomerID,Name,Gender,DOB,Phone,Email,Address
1,Shayak Chana,Male,1988-07-25,+915594042266,onkarhari@dey-chada.com,"H.No. 348
Wali Circle, Kota 880667"
2,Mannat Srivastava,Female,1988-10-24,2569941269,birdivij@mammen.com,"05/362
Malhotra Road, Sambalpur-296034"
3,Nakul Sandal,Male,1961-06-13,06437035420,jhanvibhavsar@gmail.com,"72/05, Basak Ganj, Cuttack-540411"
4,Samar Walia,Female,2001-03-27,1141602972,bhavinsood@gmail.com,"337, Kala Path
Vijayanagaram 075429"
5,Mishti Chaudhuri,Other,2002-10-19,3148755097,ramheer@gmail.com,"072
Dugar Marg, Karnal 934786"
6,Anika Chauhan,Male,1986-05-14,02069085978,yashvi23@gmail.com,"33/93, Dewan Nagar, Karaikudi-424299"
7,Manjari Johal,Male,1965-08-26,4992511403,ritvikkalla@yahoo.com,"53/72
Shere
Vasai-Virar-865760"
8,Mannat Toor,Other,1964-12-05,03318182846,heer33@shere-kar.com,"43/20, Wadhwa Road, Bardhaman-266439"
9,Amira Lad,Female,1955-06-13,+913002084354,saramanne@yahoo.com,"49/981
Bali Marg
Kumbakonam 424097"
10,Zeeshan Date,Other,1945-05-16,+916515192890,wagleaarush@gmail.com,"30/379
Vyas Road
Bhiwani 215593"
11,Rhea Vyas,Female,1963-11-06,+913356157517,sanghaaradhya@gmail.com,"01/81
Shenoy, New Delhi-511910"
12,Baiju Ben,Other,1968-01-29,5202410289,vaibhav14@sundaram-malhotra.net,"616, Agarwal Path, Pune 075351"
13,Ira Balay,Female,2006-12-11,02046638325,aainachauhan@varkey.com,"71/064
Ravel Chowk, Unnao 071427"
14,Siya Kamdar,Other,1977-01-15,8446980229,ira98@sarna.info,"18, Ganguly, Avadi 523377"
15,Mamooty Bassi,Female,1984-07-03,06453963565,raghav17@dave-verma.com,"H.No. 61
Yohannan Nagar
Rourkela-783357"
16,Veer Ram,Female,1976-01-26,6681220192,elakar@hotmail.com,"51
Mander Zila, Jalandhar 801507"
17,Eshani Shenoy,Male,1948-03-29,+911662979623,shalv89@yahoo.com,"49, Balay Nagar, Faridabad 540338"
18,Ela Sawhney,Male,1948-07-29,04711238702,reddyojas@khatri-dave.com,"H.No. 37, Dar Path
Ranchi 715429"
19,Ryan Lad,Female,2003-01-05,3312652988,tanyakonda@bajaj.com,"64/657, Ramaswamy Ganj
Bhatpara 587803"
20,Indranil Lad,Male,1985-05-22,4206057321,gokul54@ravi.com,"03/03
Doshi Marg, Pune 665995"
21,Ira Bhattacharyya,Male,1985-12-14,02502746969,dhanushjoshi@swaminathan.com,"H.No. 36, Khatri Zila
Anand 098002"
22,Nishith Sarin,Male,1975-08-12,2367933971,balajiya@yahoo.com,"18/24, Sarkar Path, Bhilai 984565"
23,Tiya Agrawal,Female,1970-05-14,+913173036114,sulepari@dar.com,"69/163
Dora Chowk, Bidhannagar-832839"
24,Rati Dhillon,Male,1945-11-16,8518237830,vardaniya31@wali.com,"59, Borde Circle, Warangal-963691"
25,Yuvaan Choudhary,Female,1975-12-24,+915238144210,vramaswamy@golla.biz,"05, Chaudhuri Path, Bhatpara-293019"
26,Diya Dass,Other,1961-01-31,05516042171,rameshcharvi@walia-madan.com,"H.No. 973, Swamy Zila, Bangalore 568458"
27,Anaya Sood,Other,1995-08-20,+916029045811,sahilbawa@ray.com,"05/018, Dutt Marg
Thane 667717"
28,Tanya Lanka,Male,1989-11-06,+919201378468,parinaaz01@kant.com,"46/819
Rajagopalan Marg
Karnal 459939"
29,Eva Seth,Other,2006-01-26,08732851925,gardesamiha@mangat-mandal.net,"H.No. 115
Dada Ganj, Tirupati-305288"
30,Rati Bedi,Female,1978-09-12,+911582339123,sahotaeva@gmail.com,"92
Chana Road, Deoghar-651014"
31,Amira Dixit,Male,1999-09-08,03302946716,taranchar@gmail.com,"H.No. 205
Ramanathan Marg, Hubli–Dharwad-752021"
32,Mohanlal Mandal,Female,1954-07-30,+911194418100,rshenoy@ramanathan.com,"11/935
Bedi Road, Gandhinagar 994302"
33,Tara Toor,Female,1986-01-08,0645180904,ushetty@raj-goswami.com,"132
Chaudry Street, Bhimavaram-466278"
34,Taimur Gopal,Female,1969-11-22,+911524544240,eshani50@baral.com,"61, Balakrishnan Nagar, Ambala-418922"
35,Priyansh Dua,Other,2002-11-04,3100633569,ryanchatterjee@ben-sagar.net,"54/546, Tella Zila, Jaunpur-703032"
36,Alia Bal,Female,1967-11-30,+919285763539,sagarpranay@krishna.com,"96
Singhal Circle, Bhind 439790"
37,Darshit Chandran,Other,1964-02-02,+917829135505,ikara@gmail.com,"22/38, Dhingra Street
Sambalpur-959001"
38,Kiaan Srivastava,Male,1975-07-05,+910462194370,nishith52@ravel.net,"H.No. 24
Luthra Zila, Surat-819221"
39,Kashvi Zacharia,Female,1997-04-12,09481104866,ivan50@hotmail.com,"28/065
Edwin Street
Bijapur-017468"
40,Heer Sundaram,Female,2006-12-20,7835190112,brahmbhattdivij@manne.net,"H.No. 355, Banik, Bangalore-833772"
41,Eshani Doshi,Other,1983-06-28,2355523156,xsem@gmail.com,"H.No. 38
Andra
Ajmer-364437"
42,Suhana Krish,Other,1980-02-16,5728750317,ehsaanshanker@kade.org,"978, Basu Ganj, Sonipat 317234"
43,Samar Wali,Other,1995-02-14,03488482939,fateh08@joshi-cherian.net,"556, Bera Path, Siliguri 431038"
44,Navya Ratti,Male,1991-11-10,+916256630670,mishti93@mall.com,"H.No. 851
Soman Path
Raichur-497539"
45,Khushi Sant,Other,1978-01-26,8324000839,aarushchada@sandal.com,"H.No. 65, Dhar Chowk
Kolhapur-580015"
46,Gatik Chaudhry,Other,1952-11-01,06250663329,kbehl@sani-hari.com,"18/18, Varkey Nagar, Motihari-989260"
47,Jhanvi Wali,Male,1973-08-01,+912507491729,tejas16@yahoo.com,"H.No. 33, Gaba Ganj
Bangalore 331350"
48,Yasmin Sharaf,Male,1997-03-20,09787405029,prishabhasin@kurian-loyal.net,"32, Wali Road, Tezpur 476493"
49,Lagan Bail,Other,1976-09-16,4011079038,emann@kuruvilla-dalal.info,"89/14, Mani Street
Jalandhar-376692"
50,Darshit Ben,Male,1951-05-05,+918711458990,baradtara@chakrabarti-bath.org,"H.No. 722
Badal Road, Sultan Pur Majra-428959"
51,Ojas Ratti,Female,1979-05-28,+912165074874,baralanahi@kulkarni-venkatesh.net,"H.No. 17
Sarraf Circle, Kozhikode 135489"
52,Himmat Viswanathan,Other,1951-10-12,0044256667,shalv95@gara-kothari.com,"440, Ranganathan Path, Vijayawada-649135"
53,Ehsaan Vora,Female,1944-12-10,+910402302957,bhasinnavya@gmail.com,"498, Dhingra Zila, Mira-Bhayandar-631398"
54,Kanav Kara,Female,1956-05-12,+912743304233,jiya62@gmail.com,"H.No. 15, Ramaswamy Marg, Adoni-828458"
55,Trisha Sridhar,Male,1949-12-10,00966810135,hunarsoman@gmail.com,"45
Balakrishnan Chowk
Dehradun-896295"
56,Ayesha Khatri,Other,1950-11-28,5156349742,kaurneelofar@viswanathan.org,"909
Butala Ganj
Dehri 909171"
57,Khushi Bahri,Female,1967-12-11,+919739040453,tanyakarnik@batra.com,"H.No. 44
Reddy Street, Malegaon-931234"
58,Anvi Walia,Other,1970-02-10,00332420104,gouranya@rout.com,"042, Dhaliwal Ganj
Kollam-901021"
59,Pranay Hans,Female,1963-08-15,+915666709146,sankartara@yahoo.com,"H.No. 739
Talwar Nagar, Kozhikode-698368"
60,Shaan Garg,Other,1989-12-08,+915070036302,rashakhalsa@cheema-vora.info,"030
Dani Ganj
Ratlam 564998"
61,Shanaya Rana,Male,1996-08-13,+912307322972,aaryahitoor@apte.com,"634, Bakshi Ganj, Darbhanga 678425"
62,Pari Brahmbhatt,Male,1982-06-08,05115814394,badal69@yahoo.com,"65/72, Sangha Road, Jehanabad-468632"
63,Azad Sehgal,Male,2001-04-27,9765434195,zkeer@gokhale.org,"93
Kale Street, Bettiah 093904"
64,Tara Garde,Male,1954-11-07,4286111168,shlokkalla@yahoo.com,"63/388
Bakshi Marg
Dindigul-608563"
65,Vivaan Deol,Female,1976-07-17,+913091900294,vedikabawa@gulati-rama.com,"H.No. 937
Doshi Marg
Karawal Nagar-037957"
66,Madhav Gera,Other,1977-12-21,5220749385,navyadua@gmail.com,"002
Karnik Circle
Vijayawada-402204"
67,Miraan Master,Male,1966-02-26,03225587452,eva15@kari.com,"69/598
Krishna Nagar, Nagercoil-466342"
68,Onkar Dyal,Other,1978-12-04,7328227995,rwadhwa@bakshi-mand.biz,"47
Kala Zila
Kalyan-Dombivli-022839"
69,Jhanvi Andra,Male,1953-06-30,00700080215,xmangat@sastry.org,"64/01
Krishna Circle, Ozhukarai 627978"
70,Armaan Bala,Male,1981-02-02,4919334226,sumermangat@hotmail.com,"H.No. 684, Guha Path
Narasaraopet 617571"
71,Ayesha Gill,Female,1990-07-15,7730690872,dharmajankar@khalsa-chatterjee.info,"016
Bala Ganj, Anantapuram-804256"
72,Hridaan Choudhry,Male,1954-10-03,03756871915,raghavganesh@gmail.com,"H.No. 35
Din Chowk, Nagaon-114537"
73,Shamik Basak,Male,1953-02-13,3361658781,solankiyuvaan@krishnan.com,"H.No. 921
Vyas Nagar
Purnia 533582"
74,Indrans Baria,Other,1948-07-03,03725721838,basakakarsh@date.com,"H.No. 97, Kaur, Miryalaguda-336669"
75,Biju Boase,Other,1996-05-10,+918234468551,saira83@dhaliwal-chakraborty.biz,"H.No. 982
Garde Marg, Purnia-517876"
76,Jayant Halder,Female,1979-07-18,8613341274,nchawla@gola.biz,"56
Bhasin Zila, Karawal Nagar-304004"
77,Armaan Dixit,Female,2001-09-23,01441317136,shlokkrishnan@ben.com,"77/03, Shah Street
Agartala 578489"
78,Renee Mander,Other,1948-02-09,06880659299,drege@gmail.com,"H.No. 940, Vaidya Ganj
Serampore 095792"
79,Pihu Dua,Male,1965-04-03,4983847690,issacjivika@kar.com,"08, Verma Street
Sambhal-545595"
80,Neysa Din,Other,1988-10-22,1076772890,mehul89@bakshi-barad.com,"43/81
Bakshi Marg
Dibrugarh 695032"
81,Veer Borra,Female,1956-12-28,4714025084,sharafnavya@goyal.com,"31
Vora Road
Parbhani-080760"
82,Dhanush Sundaram,Other,1986-06-12,+918872450512,yashvibhatia@hotmail.com,"H.No. 41, Kothari Street, Gandhinagar 074301"
83,Pari Sheth,Male,2002-05-29,08053671632,advik92@yahoo.com,"51/93
Bhandari Zila, Sikar-319742"
84,Saksham Sarraf,Male,1972-07-05,3742040484,wswaminathan@master.com,"513, Garg Nagar, Gandhinagar-634902"
85,Shayak Tata,Other,1947-05-31,06792999918,iyengaradira@gmail.com,"H.No. 46, Dua Ganj
Satna 973885"
86,Suhana Shenoy,Female,1996-08-21,+914891574273,ranasamarth@gmail.com,"H.No. 74, Bajwa Path, Amaravati 543310"
87,Raghav Arya,Female,1979-01-18,06242016375,benshamik@yahoo.com,"71, Kuruvilla, Bidhannagar 796019"
88,Ojas Rout,Male,2005-12-24,6251618171,wasonumang@bandi.com,"H.No. 24
Chaudhary Chowk, Khandwa 214082"
89,Samaira Koshy,Female,1991-11-24,01224655460,badal80@gopal-sarna.com,"69/919
Banik
Khandwa 454394"
